spacetimedb.com|clockworklabs/SpacetimeDB|spacetime
github.com/achristmascarl/rainfrog|achristmascarl/rainfrog|rainfrog
github.com/0age/create2crunch|0age/create2crunch|create2crunch
github.com/snowplow/factotum|snowplow/factotum|factotum
github.com/Limeth/ethaddrgen|Limeth/ethaddrgen|ethaddrgen
github.com/alt-art/commit|alt-art/commit|commit
github.com/hykilpikonna/hyfetch|hykilpikonna/hyfetch|hyfetch
github.com/hatoo/oha|hatoo/oha|oha
github.com/aws-cloudformation/cfn-lint|aws-cloudformation/cfn-lint|cfnlint
github.com/promptexecution/just-mcp|PromptExecution/just-mcp|justmcp
github.com/NQMVD/needs|NQMVD/needs|needs
github.com/charliermarsh/ruff|astral-sh/ruff|ruff
github.com/siiptuo/pio|siiptuo/pio|pio
github.com/str4d/age-plugin-yubikey|str4d/age-plugin-yubikey|agepluginyubikey
github.com/sstadick/hck|sstadick/hck|hck
github.com/containers/podlet|containers/podlet|podlet
github.com/lusingander/serie|lusingander/serie|serie
github.com/awslabs/dynein|awslabs/dynein|dy
github.com/jhheider/govee-tui|jhheider/govee-tui|goveetui
github.com/xiph/rav1e|xiph/rav1e|rav1e
github.com/AUTOMATIC1111/stable-diffusion-webui|AUTOMATIC1111/stable-diffusion-webui|stablediffusionwebui
github.com/raskell-io/hx|raskell-io/hx|hx
github.com/thoughtbot/complexity|thoughtbot/complexity|complexity
github.com/sxyazi/yazi|sxyazi/yazi|yazi
github.com/MilesCranmer/rip2|MilesCranmer/rip2|rip
github.com/tbillington/kondo|tbillington/kondo|kondo
github.com/peltoche/lsd|Peltoche/lsd|lsd
github.com/kaspanet/rusty-kaspa|kaspanet/rusty-kaspa|kaspad
github.com/samwho/spacer|samwho/spacer|spacer
github.com/mitsuhiko/when|mitsuhiko/when|when
crates.io/csview|wfxr/csview|csview
crates.io/kaspa-miner|elichai/kaspa-miner|kaspaminer
crates.io/vivid|sharkdp/vivid|vivid
crates.io/sanitize|jhheider/sanitize|sanitize
crates.io/argc|sigoden/argc|argc
crates.io/bartib|nikolassv/bartib|bartib
crates.io/eb|rye/eb|eb
crates.io/sleek|nrempel/sleek|sleek
crates.io/joshuto|kamiyaa/joshuto|joshuto
crates.io/topgrade|topgrade-rs/topgrade|topgrade
crates.io/sd|chmln/sd|sd
crates.io/comrak|kivikakk/comrak|comrak
crates.io/git-gone|swsnr/git-gone|gitgone
crates.io/pushenv|JensGM/pushenv|pushenv
crates.io/jwt-cli|mike-engel/jwt-cli|jwt
crates.io/licensor|raftario/licensor|licensor
crates.io/names|fnichol/names|names
crates.io/fsrx|jrnxf/fsrx|fsrx
crates.io/cavif|kornelski/cavif-rs|cavif
crates.io/diskonaut|imsnif/diskonaut|diskonaut
crates.io/toml-cli|gnprice/toml-cli|toml
crates.io/fd-find|sharkdp/fd|fd
crates.io/bake-rs|ali77gh/bake-rs|bake
crates.io/stego|ajmwagar/stego|stego
crates.io/broot|Canop/broot|broot
crates.io/typos|crate-ci/typos|typos
crates.io/cpz|SUPERCILEX/fuc|cpz
crates.io/eureka|simeg/eureka|eureka
crates.io/sccache|mozilla/sccache|sccache
crates.io/gitweb|yoannfleurydev/gitweb|gitweb
crates.io/portfolio_rs|MarkusZoppelt/portfolio_rs|portfolio_rs
crates.io/rmz|SUPERCILEX/fuc|rmz
crates.io/pgen|ctsrc/Pgen|pgen
crates.io/spotify_player|aome510/spotify-player|spotify_player
crates.io/git-tidy|drewwyatt/git-tidy|gittidy
pngquant.org/lib|ImageOptim/libimagequant|lib
fermyon.com/spin|fermyon/spin|spin
crates.io/lighthouse|sigp/lighthouse|lighthouse
crates.io/huniq|koraa/huniq|huniq
crates.io/fnm|Schniz/fnm|fnm
crates.io/bat|sharkdp/bat|bat
crates.io/rage|str4d/rage|rage
crates.io/docuum|stepchowfun/docuum|docuum
crates.io/didyoumean|hisbaan/didyoumean|dym
crates.io/tv-cli|uzimaru0000/tv|tv
crates.io/md-tui|henriklovhaug/md-tui|mdt
crates.io/rustls-ffi|rustls/rustls-ffi|rustls-ffi
crates.io/fblog|brocode/fblog|fblog
crates.io/sigrs|ynqa/sig|sig
crates.io/ddh|darakian/ddh|ddh
crates.io/rucola-notes|Linus-Mussmaecher/rucola|rucola
crates.io/git-absorb|tummychow/git-absorb|gitabsorb
crates.io/ripgrep|BurntSushi/ripgrep|rg
crates.io/ducker|robertpsoane/ducker|ducker
crates.io/imessage-exporter|ReagentX/imessage-exporter|imessageexporter
crates.io/checkexec|kurtbuilds/checkexec|checkexec
crates.io/spider_cli|spider-rs/spider|spider
crates.io/git-trim|foriequal0/git-trim|gittrim
crates.io/bottom|ClementTsang/bottom|btm
crates.io/tidy-viewer|alexhallam/tv|tidyviewer
crates.io/pier|pier-cli/pier|pier
crates.io/craftql|yamafaktory/craftql|craftql
crates.io/dua|Byron/dua-cli|dua
crates.io/silicon|Aloxaf/silicon|silicon
github.com/lu-zero/cargo-c|lu-zero/cargo-c|cargocapi
github.com/h4ckf0r0day/obscura|h4ckf0r0day/obscura|obscura
